stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price,create-at
AAV,0.0,5.6,6.1,0.4,6.0,0.6,661.4,0.0,6.1,5.7,2024-05-21 10:34:52.176948
ADC,0.0,18.9,20.7,0.0,18.9,0.2,0.6,0.0,18.9,18.9,2024-05-21 10:34:52.460312
ALT,0.0,14.4,15.8,0.4,14.8,0.1,0.2,0.0,15.0,14.8,2024-05-21 10:34:52.723661
APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:53.200386
ARM,0.0,30.9,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:53.489723
ATS,0.0,12.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:53.885912
BAB,0.0,12.7,13.9,0.0,12.7,0.1,8.7,0.0,12.8,12.7,2024-05-21 10:34:54.182995
BAX,0.0,39.5,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:54.506240
BBS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:54.851792
BCC,0.0,8.2,9.0,0.0,8.2,1.0,42.6,0.0,8.3,8.2,2024-05-21 10:34:55.223925
BCF,0.0,32.6,35.8,-1.6,31.0,0.1,0.1,0.0,31.0,31.0,2024-05-21 10:34:55.671271
BDB,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:55.996664
BED,0.0,30.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:56.398940
BKC,0.0,6.5,7.1,0.0,6.5,1.0,1.0,0.0,6.5,6.5,2024-05-21 10:34:56.709925
BNA,0.0,10.3,11.3,0.0,10.3,0.5,15.0,0.0,10.4,10.3,2024-05-21 10:34:57.039554
BPC,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:57.450751
BSC,0.0,13.2,14.5,0.0,13.2,0.1,0.3,0.0,13.2,13.2,2024-05-21 10:34:57.936645
BST,0.0,16.4,18.0,1.4,17.8,0.1,0.1,0.0,17.8,17.8,2024-05-21 10:34:58.325931
BTS,0.0,5.6,6.1,0.0,5.6,0.1,0.6,0.0,5.6,5.5,2024-05-21 10:34:58.725570
BTW,0.0,36.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:34:59.238344
BVS,0.0,39.7,43.6,0.5,40.2,0.7,410.9,0.0,40.4,39.4,2024-05-21 10:35:00.074882
BXH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:00.556122
C69,0.0,6.9,7.5,0.0,6.9,0.1,258.5,0.0,7.0,6.7,2024-05-21 10:35:01.030340
CAG,0.0,10.2,11.2,-0.5,9.7,0.1,24.5,0.0,10.4,9.6,2024-05-21 10:35:01.487545
CAN,0.0,41.8,45.9,-2.8,39.0,0.1,2.1,0.0,39.0,37.7,2024-05-21 10:35:02.051974
CAP,0.0,62.7,68.9,0.1,62.8,0.5,32.4,0.0,62.9,62.5,2024-05-21 10:35:02.544606
CCR,0.0,11.9,13.0,-0.3,11.6,0.1,3.6,0.0,11.9,11.4,2024-05-21 10:35:03.045361
CDN,0.0,32.0,35.2,0.0,32.0,0.2,5.1,0.0,32.0,31.9,2024-05-21 10:35:03.559293
CEO,0.0,19.2,21.1,-0.2,19.0,0.3,3272.4,0.0,19.3,17.3,2024-05-21 10:35:04.048008
CET,0.0,7.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:04.516824
CIA,0.0,9.9,10.8,0.0,9.9,0.1,0.1,0.0,9.9,9.9,2024-05-21 10:35:05.348367
CJC,0.0,25.8,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:06.229492
CKV,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:06.812208
CLH,0.0,21.9,24.0,-0.1,21.8,0.8,1.7,0.0,21.9,21.8,2024-05-21 10:35:07.454268
CLM,0.0,77.4,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:08.160041
CMC,0.0,6.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:08.772775
CMS,0.0,13.7,15.0,-0.1,13.6,1.5,45.6,0.0,13.8,13.6,2024-05-21 10:35:09.287579
CPC,0.0,19.5,21.4,0.0,19.5,0.1,1.1,0.0,19.5,19.5,2024-05-21 10:35:09.917932
CSC,0.0,29.4,32.3,0.0,29.4,0.1,14.3,0.0,29.5,29.2,2024-05-21 10:35:10.551213
CTB,0.0,21.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:11.545013
CTC,0.0,1.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:12.684130
CTP,0.0,5.5,6.0,0.1,5.6,0.1,3.8,0.0,5.6,5.5,2024-05-21 10:35:13.271792
CTT,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:14.055902
CVN,0.0,3.0,3.3,-0.1,2.9,5.0,1080.0,0.0,3.0,2.8,2024-05-21 10:35:14.993790
CX8,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:15.506647
D11,0.0,11.2,12.3,0.0,11.2,0.5,0.6,0.0,11.5,11.2,2024-05-21 10:35:20.295023
DAD,0.0,19.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:20.898203
DAE,0.0,14.0,15.4,0.2,14.2,0.2,0.7,0.0,14.9,14.1,2024-05-21 10:35:21.462017
DIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:22.298452
DL1,0.0,4.9,5.3,-0.2,4.7,0.1,131.9,0.0,4.9,4.7,2024-05-21 10:35:22.753463
DNC,0.0,51.5,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:23.249567
DNP,0.0,20.9,22.9,-0.5,20.4,0.1,1.3,0.0,20.8,20.4,2024-05-21 10:35:23.673077
DP3,0.0,61.9,68.0,0.0,61.9,0.1,4.0,0.0,62.0,61.9,2024-05-21 10:35:24.605563
DS3,0.0,5.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:25.106101
DST,0.0,3.8,4.1,-0.1,3.7,0.2,3.4,0.0,3.8,3.7,2024-05-21 10:35:25.780465
