stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
AAV,0.0,5.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,0.0,18.9,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,28.1,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATS,0.0,13.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAB,0.0,12.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,0.0,39.8,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBS,0.0,10.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCC,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCF,0.0,30.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDB,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BED,0.0,30.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKC,0.0,6.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNA,0.0,10.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPC,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSC,0.0,13.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BST,0.0,16.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS,0.0,5.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTW,0.0,37.2,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVS,0.0,39.5,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BXH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C69,0.0,6.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAG,0.0,9.7,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,46.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP,0.0,62.2,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR,0.0,12.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDN,0.0,31.5,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEO,0.0,19.2,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CET,0.0,7.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIA,0.0,9.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJC,0.0,25.8,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
